codigo,nombre,segmento_codigo,segmento_nombre,familia_codigo,familia_nombre,clase_codigo,clase_nombre
10101501,Gatos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101500,Animales de granja
10101502,Perros,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101500,Animales de granja
10101504,Visón,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101500,Animales de granja
10101505,Ratas,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101500,Animales de granja
10101506,Caballos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101500,Animales de granja
10101507,Ovejas,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101500,Animales de granja
10101508,Cabras,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101500,Animales de granja
10101509,Asnos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101500,Animales de granja
10101510,Ratones,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101500,Animales de granja
10101511,Cerdos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101500,Animales de granja
10101512,Conejos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101500,Animales de granja
10101513,Cobayas o conejillos de indias,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101500,Animales de granja
10101514,Primates,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101500,Animales de granja
10101515,Armadillos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101500,Animales de granja
10101516,Ganado vacuno,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101500,Animales de granja
10101517,Camellos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101500,Animales de granja
10101601,Pollos vivos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101600,Pájaros y aves de corral
10101602,Patos vivos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101600,Pájaros y aves de corral
10101603,Pavos vivos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101600,Pájaros y aves de corral
10101604,Gansos vivos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101600,Pájaros y aves de corral
10101605,Faisanes vivos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101600,Pájaros y aves de corral
10101701,Salmón vivos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101700,Peces
10101702,Trucha viva,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101700,Peces
10101703,Tilapia viva,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101700,Peces
10101704,Carpa viva,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101700,Peces
10101705,Anguilas vivas,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101700,Peces
10101801,Camarón vivo,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101800,Mariscos e invertebrados acuáticos
10101802,Almejas vivas,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101800,Mariscos e invertebrados acuáticos
10101803,Mejillones vivos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101800,Mariscos e invertebrados acuáticos
10101804,Ostras vivas,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101800,Mariscos e invertebrados acuáticos
10101805,Cangrejos vivos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101800,Mariscos e invertebrados acuáticos
10101806,Abulones vivos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101800,Mariscos e invertebrados acuáticos
10101807,Pulpo vivo,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101800,Mariscos e invertebrados acuáticos
10101808,Calamar vivo,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101800,Mariscos e invertebrados acuáticos
10101809,Sanguijuelas,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101800,Mariscos e invertebrados acuáticos
10101901,Mariposas,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101900,Insectos
10101902,Escarabajos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101900,Insectos
10101903,Abejas,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101900,Insectos
10101904,Gusanos de seda,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10101900,Insectos
10102001,Elefantes,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10102000,Animales salvajes
10102002,Zorros vivos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10100000,Animales vivos,10102000,Animales salvajes
10111301,Juguetes para mascotas,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10110000,Productos para animales domésticos,10111300,Tratamientos para los animales domésticos y accesorios y equipo
10111302,Productos para el aseo y cuidado de mascotas,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10110000,Productos para animales domésticos,10111300,Tratamientos para los animales domésticos y accesorios y equipo
10111303,Equipo para el manejo de desperdicios de las mascotas,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10110000,Productos para animales domésticos,10111300,Tratamientos para los animales domésticos y accesorios y equipo
10111304,Tazones o equipo para alimentación de mascotas,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10110000,Productos para animales domésticos,10111300,Tratamientos para los animales domésticos y accesorios y equipo
10111305,Tratamientos medicados para mascotas,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10110000,Productos para animales domésticos,10111300,Tratamientos para los animales domésticos y accesorios y equipo
10111306,Kits para el entrenamiento de mascotas domésticas,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10110000,Productos para animales domésticos,10111300,Tratamientos para los animales domésticos y accesorios y equipo
10111307,Cobijas para mascotas,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10110000,Productos para animales domésticos,10111300,Tratamientos para los animales domésticos y accesorios y equipo
10121501,Salvado de trigo puro,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10121500,Pienso para ganado
10121502,Avena para forraje,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10121500,Pienso para ganado
10121503,Maíz para forraje,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10121500,Pienso para ganado
10121504,Sorgo para forraje,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10121500,Pienso para ganado
10121505,Heno,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10121500,Pienso para ganado
10121506,Tortas oleaginosas,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10121500,Pienso para ganado
10121507,Forraje compuesto,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10121500,Pienso para ganado
10121601,Alimento vivo para aves,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10121600,Alimento para pájaros y aves de corral
10121602,Alpiste,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10121600,Alimento para pájaros y aves de corral
10121603,Pasa bocas o comida recreacional para aves,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10121600,Alimento para pájaros y aves de corral
10121604,Alimento avícola,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10121600,Alimento para pájaros y aves de corral
10121701,Salmuera fresca o congelada,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10121700,Alimento para peces
10121702,Alimento granulado para peces,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10121700,Alimento para peces
10121703,Alimento en hojuelas para peces,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10121700,Alimento para peces
10121801,Comida seca para perros,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10121800,Alimento para perros y gatos
10121802,Comida húmeda para perros,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10121800,Alimento para perros y gatos
10121803,Leche para perros o gatos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10121800,Alimento para perros y gatos
10121804,Comida seca para gatos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10121800,Alimento para perros y gatos
10121805,Comida húmeda para gatos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10121800,Alimento para perros y gatos
10121806,Pasa bocas o comida recreacional para gatos o perros,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10121800,Alimento para perros y gatos
10121901,Comida granulada para roedores,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10121900,Alimento para roedores
10122001,Comida granulada para reptiles,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10122000,Alimento para reptiles
10122002,Comida húmeda para reptiles,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10122000,Alimento para reptiles
10122003,Comida viva para reptiles,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10122000,Alimento para reptiles
10122101,Comida para cerdos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10122100,Comida para animales variados
10122102,Comida para visones,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10122100,Comida para animales variados
10122103,Comida para monos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10122100,Comida para animales variados
10122104,Comida para conejos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10120000,Comida de animales,10122100,Comida para animales variados
10131506,Establos para ganado,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10130000,Recipientes y hábitat para animales,10131500,Cobertizos para animales
10131507,Casas para mascotas domesticadas,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10130000,Recipientes y hábitat para animales,10131500,Cobertizos para animales
10131508,Camas para mascotas,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10130000,Recipientes y hábitat para animales,10131500,Cobertizos para animales
10131601,Jaulas o sus accesorios,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10130000,Recipientes y hábitat para animales,10131600,Recipientes para animales
10131602,Perreras,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10130000,Recipientes y hábitat para animales,10131600,Recipientes para animales
10131603,Equipaje para el transporte de animales,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10130000,Recipientes y hábitat para animales,10131600,Recipientes para animales
10131604,Correas para perros,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10130000,Recipientes y hábitat para animales,10131600,Recipientes para animales
10131701,Terrarios,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10130000,Recipientes y hábitat para animales,10131700,Hábitat para animales
10131702,Acuarios,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10130000,Recipientes y hábitat para animales,10131700,Hábitat para animales
10141501,Sillas de montar,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10140000,Productos de talabartería y arreo,10141500,Talabartería
10141502,Fustas y látigos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10140000,Productos de talabartería y arreo,10141500,Talabartería
10141503,Herraduras para caballo,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10140000,Productos de talabartería y arreo,10141500,Talabartería
10141504,Herraduras para mula,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10140000,Productos de talabartería y arreo,10141500,Talabartería
10141505,Sillín o pelero,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10140000,Productos de talabartería y arreo,10141500,Talabartería
10141601,Bridas,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10140000,Productos de talabartería y arreo,10141600,Arneses
10141602,Yugos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10140000,Productos de talabartería y arreo,10141600,Arneses
10141603,Bocados para caballos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10140000,Productos de talabartería y arreo,10141600,Arneses
10141604,Riendas,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10140000,Productos de talabartería y arreo,10141600,Arneses
10141605,Estribos,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10140000,Productos de talabartería y arreo,10141600,Arneses
10141606,Correas o traíllas,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10140000,Productos de talabartería y arreo,10141600,Arneses
10141607,Arneses de cuello para animales,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10140000,Productos de talabartería y arreo,10141600,Arneses
10141608,Arneses o sus accesorios,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10140000,Productos de talabartería y arreo,10141600,Arneses
10141609,Sujetadores,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10140000,Productos de talabartería y arreo,10141600,Arneses
10141610,Bozales,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10140000,Productos de talabartería y arreo,10141600,Arneses
10141611,Soportes para correas,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10140000,Productos de talabartería y arreo,10141600,Arneses
10151501,Semillas o plántulas de fríjol,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151502,Semillas o plántulas de zanahoria,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151503,Semillas o plántulas de apio,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151504,Semillas o plántulas de chiles,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151505,Semillas o plántulas de calabacín,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151506,Semillas o plántulas de alverja,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151507,Semillas o plántulas de pepino cohombro,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151508,Semillas o plántulas de berenjena,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151509,Semillas o plántulas de endivias,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151510,Semillas o plántulas de ajo,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151511,Semillas o plántulas de puerro,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151512,Semillas o plántulas de lechuga,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151513,Semillas o plántulas de maíz,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151514,Semillas o plántulas de melón,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151515,Semillas o plántulas cebolla,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151516,Semillas o plántulas de soya,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151517,Semillas o plántulas de espinaca,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151518,Semillas o plántulas de tomate,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151519,Semillas o plántulas de nabo,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151520,Semillas o plántulas de acelga,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151521,Semillas o plántulas de pimiento morrón,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151522,Semillas o plántulas de remolacha,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151523,Semillas o plántulas de coliflor,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151524,Semillas o plántulas de perejil,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151525,Semillas o plántulas de brócoli,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151526,Semillas o plántulas de repollo,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151527,Semillas o plántulas de papa,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151528,Semillas o plántulas de batata,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151529,Semillas o plántulas de calabaza,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151530,Semillas o plántulas de rábano,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151531,Semillas o plántulas de repollitos de bruselas,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151532,Semillas o plántulas de ahuyama,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151533,Semillas o plántulas de okra,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151534,Semillas o plántulas de melón cantalupo,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151535,Semillas o plántulas de maní,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151536,Semillas o plántulas de caigua,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151537,Semillas o plántulas de espárrago,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151538,Semillas o plántulas de garbanzo,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151539,Semillas o plántulas de haba,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151500,Semillas y plántulas vegetales
10151601,Semillas de trigo,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151600,Semillas de cereales
10151602,Semillas de canola,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151600,Semillas de cereales
10151603,Semillas de cebada,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151600,Semillas de cereales
10151604,Semillas de mijo,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151600,Semillas de cereales
10151605,Semillas de avena,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151600,Semillas de cereales
10151606,Semillas de ajonjolí,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151600,Semillas de cereales
10151607,Semillas de linaza,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151600,Semillas de cereales
10151608,Semillas de aceite de ricino,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151600,Semillas de cereales
10151609,Semillas de maíz,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151600,Semillas de cereales
10151610,Semillas de centeno,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151600,Semillas de cereales
10151611,Semillas de sorgo,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151600,Semillas de cereales
10151612,Semillas o plántulas de kiwicha,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151600,Semillas de cereales
10151613,Semillas o plántulas de quínoa,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151600,Semillas de cereales
10151701,Semillas o plántulas de arroz,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151700,Semillas y plántulas de hierba y forraje
10151702,Semillas o plántulas de trébol,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151700,Semillas y plántulas de hierba y forraje
10151703,Semillas o plántulas de alfalfa,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151700,Semillas y plántulas de hierba y forraje
10151704,Semillas o plántulas de pasto,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151700,Semillas y plántulas de hierba y forraje
10151705,Semillas o plántulas de veza (gachas / guija),10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151700,Semillas y plántulas de hierba y forraje
10151706,Semillas o plántulas de guar,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151700,Semillas y plántulas de hierba y forraje
10151801,Semillas o plántulas de pimienta,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151800,Semillas y plántulas de especias
10151802,Semillas o plántulas de vainilla,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151800,Semillas y plántulas de especias
10151803,Semillas o plántulas de canela,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151800,Semillas y plántulas de especias
10151804,Semillas o plántulas de clavo de olor,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151800,Semillas y plántulas de especias
10151805,Semillas o plántulas de cilantro,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151800,Semillas y plántulas de especias
10151806,Semillas o plántulas de jengibre,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151800,Semillas y plántulas de especias
10151807,Semillas o plántulas de azafrán,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151800,Semillas y plántulas de especias
10151808,Semillas o plántulas de tomillo,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151800,Semillas y plántulas de especias
10151809,Semillas o plántulas de curry,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151800,Semillas y plántulas de especias
10151810,Semillas o plántulas de mostaza,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151800,Semillas y plántulas de especias
10151811,Semillas o plántulas de ginseng,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151800,Semillas y plántulas de especias
10151812,Semillas o plántulas de champiñones,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151800,Semillas y plántulas de especias
10151813,Semillas o plántulas de sacha inchi,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151800,Semillas y plántulas de especias
10151814,Semillas o plántulas de achiote,10000000,"Material Vivo Vegetal y Animal, Accesorios y Suministros",10150000,"Semillas, bulbos, plántulas y esquejes",10151800,Semillas y plántulas de especias
